3608,12-10-2015,artif. sweetener
3385,28-06-2015,frankfurter
1294,14-08-2014,other vegetables
4086,14-01-2014,pastry
1531,24-09-2014,meat
4013,18-03-2015,sausage
4361,18-02-2015,domestic eggs
2097,01-10-2015,rolls/buns
3719,03-10-2014,rolls/buns
3469,04-02-2014,other vegetables
3253,20-06-2015,frozen fish
2765,04-09-2015,tropical fruit
4972,21-12-2014,citrus fruit
4481,11-08-2014,frozen meals
2530,13-06-2015,yogurt
2134,27-08-2015,pastry
1360,16-12-2015,ham
4554,16-07-2015,male cosmetics
3393,23-02-2015,condensed milk
1943,24-03-2015,bottled water
2694,24-11-2015,pip fruit
3830,18-10-2015,coffee
2072,19-02-2015,pip fruit
1921,11-06-2014,root vegetables
4699,08-02-2015,rolls/buns
1559,03-10-2015,citrus fruit
3221,29-06-2015,pastry
1914,04-06-2015,other vegetables
3405,20-08-2014,whole milk
4453,26-01-2014,hamburger meat
4388,18-02-2014,tropical fruit
4859,10-05-2015,soda
1796,06-08-2014,coffee
4259,24-06-2015,soda
2471,13-08-2015,hamburger meat
2612,11-06-2014,berries
4484,27-11-2015,rolls/buns
1924,07-09-2015,sausage
2932,20-03-2015,whole milk
3657,28-11-2014,whole milk
4300,01-10-2014,yogurt
1135,10-07-2015,soda
3902,27-10-2014,rolls/buns
2164,24-11-2015,brown bread
4254,20-07-2015,white wine
1822,24-01-2014,semi-finished bread
1363,21-06-2015,whole milk
1852,04-01-2014,tropical fruit
1595,20-06-2015,finished products
4719,28-12-2015,other vegetables
3401,17-03-2014,pip fruit
1957,31-01-2015,root vegetables
3549,06-12-2014,frozen meals
2323,27-12-2014,whole milk
1838,14-06-2014,other vegetables
4307,05-07-2014,yogurt
1245,27-06-2015,shopping bags
3556,17-12-2014,butter milk
4883,26-12-2014,whole milk
2592,20-03-2015,yogurt
3484,10-10-2015,herbs
4190,28-06-2014,specialty bar
3298,28-04-2015,chocolate
1324,27-12-2015,misc. beverages
4045,02-03-2014,pip fruit
3248,19-06-2015,citrus fruit
3782,03-02-2015,chicken
4335,28-06-2014,fruit/vegetable juice
4868,10-02-2014,root vegetables
1225,29-11-2014,soda
3409,20-05-2015,sausage
4598,18-03-2015,curd
1234,20-11-2015,salty snack
4776,08-02-2015,cream cheese 
4149,07-01-2015,other vegetables
1326,09-11-2015,ice cream
1782,30-08-2014,other vegetables
2185,25-05-2014,other vegetables
3308,12-09-2014,napkins
3005,12-07-2015,citrus fruit
4362,11-07-2015,berries
4853,24-12-2014,frozen meals
1372,25-04-2015,fruit/vegetable juice
2760,02-08-2015,citrus fruit
2798,19-03-2014,rolls/buns
2226,17-02-2015,canned vegetables
2048,24-11-2014,berries
4598,18-03-2015,brown bread
3972,08-06-2015,bottled water
1302,29-09-2015,fruit/vegetable juice
3178,01-02-2014,butter
2663,30-03-2014,shopping bags
4478,04-12-2015,seasonal products
4487,10-07-2015,sausage
3905,19-06-2015,frozen meals
2051,03-12-2014,other vegetables
3595,17-12-2015,whole milk
1099,18-07-2014,pip fruit
3214,22-12-2015,frozen meals
3955,28-08-2015,canned beer
2129,04-03-2015,sausage
3264,11-10-2014,onions
1098,05-08-2015,whole milk
2873,15-07-2015,liquor (appetizer)
4094,22-01-2014,onions
1322,11-12-2014,citrus fruit
4338,27-08-2015,ham
3552,24-02-2014,long life bakery product
1486,14-12-2015,spices
2649,03-09-2014,liqueur
3642,24-02-2015,sausage
1988,08-09-2015,bottled water
1869,15-03-2014,frozen fish
4082,03-08-2014,berries
4133,22-08-2014,soups
4258,24-06-2014,sausage
3785,16-07-2014,cat food
2125,02-04-2014,soda
4002,03-09-2015,whole milk
3745,09-12-2014,other vegetables
1487,02-11-2014,butter
1970,22-02-2014,curd
3266,07-10-2014,other vegetables
1595,11-04-2015,soda
1337,06-08-2014,cling film/bags
3520,09-11-2015,newspapers
3417,15-12-2015,pastry
4486,21-07-2015,rolls/buns
1922,30-05-2014,whole milk
3164,30-09-2015,shopping bags
3803,27-01-2015,tropical fruit
4389,20-10-2015,soft cheese
4038,23-06-2014,canned beer
2261,25-07-2014,brown bread
3654,17-06-2014,newspapers
4932,29-03-2014,pastry
4462,02-04-2015,frozen dessert
2325,06-11-2014,chocolate
3466,09-12-2014,misc. beverages
1518,21-06-2015,tropical fruit
1964,23-03-2014,other vegetables
2280,11-01-2015,tropical fruit
4899,27-08-2014,root vegetables
2969,08-12-2015,waffles
2062,22-09-2015,shopping bags
2796,17-10-2015,rolls/buns
3107,12-12-2014,waffles
4910,27-11-2014,soda
3504,20-05-2015,dish cleaner
4329,06-04-2014,butter milk
1938,13-03-2014,specialty bar
4177,15-06-2015,canned beer
4917,02-12-2014,bottled beer
1427,12-02-2014,candy
4808,26-07-2015,meat
1087,11-12-2014,coffee
2796,21-09-2014,rolls/buns
3830,12-10-2014,pip fruit
2133,05-07-2014,processed cheese
1676,11-10-2015,whole milk
2074,10-04-2015,citrus fruit
1178,23-03-2015,oil
3929,06-11-2015,spread cheese
4983,13-12-2014,baking powder
3890,26-10-2015,canned fish
4117,10-12-2015,shopping bags
3948,15-06-2015,rum
3072,08-06-2015,beef
2918,19-07-2015,sausage
4485,25-07-2015,root vegetables
2346,22-03-2014,whole milk
1533,10-02-2014,red/blush wine
3310,08-03-2015,berries
3363,18-05-2015,canned beer
3039,02-09-2015,candles
1442,01-10-2014,candles
1961,06-07-2014,citrus fruit
1212,25-05-2014,domestic eggs
2456,15-03-2014,pastry
3481,22-03-2015,beef
1686,05-05-2014,root vegetables
3909,13-08-2014,root vegetables
4959,20-10-2014,rolls/buns
1806,06-07-2015,cream cheese 
3581,09-06-2014,soda
2283,22-11-2014,white bread
4759,20-02-2015,beef
3737,05-05-2015,pot plants
3941,10-11-2014,berries
2201,22-05-2015,hygiene articles
1814,01-02-2014,sparkling wine
2547,09-03-2014,specialty chocolate
2986,11-01-2015,sausage
4779,24-10-2015,whipped/sour cream
3393,15-02-2015,pot plants
4231,11-01-2015,salty snack
2218,25-12-2014,brown bread
3300,10-07-2014,rolls/buns
1696,06-09-2014,whole milk
4280,01-03-2014,soda
2612,30-07-2014,soda
3190,21-11-2015,liquor
2677,23-12-2015,root vegetables
4222,27-05-2015,tropical fruit
4388,20-03-2015,sausage
3328,12-09-2015,shopping bags
2663,21-10-2015,whole milk
3386,07-08-2014,baking powder
1008,03-10-2015,liquor (appetizer)
2196,28-06-2014,sliced cheese
1629,17-05-2015,ham
3473,02-08-2014,tropical fruit
3508,07-02-2015,seasonal products
3879,03-08-2014,yogurt
3440,21-12-2015,pork
1275,06-11-2014,rolls/buns
1664,06-10-2014,pork
2523,12-02-2015,soda
4391,23-01-2014,salty snack
3535,28-02-2015,rolls/buns
1068,01-07-2015,spread cheese
1331,29-04-2015,misc. beverages
